date,cluster_1_mean_distance,cluster_2_mean_distance
2023-04-27,13922.425185270147,13341.77057950064
2023-05-18,19981.44855537695,20404.36942582012
2023-05-19,11543.69650255308,9112.827902488507
2023-05-20,14965.530960151764,16295.552648265755
2023-05-21,16978.489308617147,17523.348437189055
2023-05-22,15816.143795572047,34199.07881066389
2023-05-23,16382.710983719238,13713.03450752548
2023-06-19,9320.363187474064,13158.242542023945
2023-06-20,7650.127919041127,12760.388678781357
2023-06-21,12552.871017720536,14502.36788852146
2023-06-22,14296.267337519137,13280.117495299948
2023-07-18,14863.09441814098,15522.367710635872
2023-07-19,12405.25027936093,12922.322556888046
2023-07-20,14603.284631370496,16362.296519785317
2023-07-21,15400.988538754696,8097.091484979437
2023-07-22,13844.740459651173,13827.535505494085
2023-07-23,15961.759826531032,15029.202559144407
2023-08-19,22612.938353177688,11146.278057402116
2023-08-20,12488.285369106854,10374.775106044077
2023-08-21,10903.801818462161,13848.573357893889
2023-08-22,13052.051804763683,11124.638796565752
2023-08-23,16558.08355169149,17624.93581793554
2024-03-18,20545.002940137307,18620.676933127415
2024-03-19,14315.087671007464,9932.021152987372
2024-03-20,15082.117855737673,13816.886663250025
2024-03-21,25515.692394534002,13865.306194235334
2024-03-22,12116.530711823216,10805.958360222256
2024-03-23,17999.030985924557,16732.738768789244
2024-04-20,19837.003906666378,21012.472100575105
2024-04-21,21843.00712288061,18266.884513552053
2024-04-23,13175.514098720056,11632.132704911499
