Date,npy.number,ACI,ADI,NDSI,Bioacoustic Index,Hybrid
2020-02-18,segment_924.npy,76087.67,4.807998,0.7985547,-885219.9,-202281.66
2020-02-18,segment_627.npy,73723.67,4.819532,0.7784122,-985859.56,-228032.58
2020-02-18,segment_1400.npy,72189.06,4.798699,0.78379214,-917563.75,-211342.28
2020-02-18,segment_1207.npy,71578.8,4.809616,0.78219676,-961602.6,-222504.56
2020-02-18,segment_458.npy,73934.14,4.821107,0.78739774,-1006081.56,-233035.45
2020-02-18,segment_1028.npy,74619.72,4.803559,0.79768056,-866506.25,-197970.23
2020-02-18,segment_1205.npy,74233.36,4.801959,0.78474593,-906302.6,-208015.92
2020-02-18,segment_1268.npy,75290.14,4.8016634,0.7935359,-883118.06,-201955.58
2020-02-18,segment_91.npy,75935.65,4.8140593,0.7796076,-895916.6,-204993.84
2020-02-18,segment_216.npy,74909.39,4.817193,0.793289,-940770.6,-216463.9
2020-02-18,segment_1402.npy,79160.27,4.8012114,0.80260545,-891209.0,-203010.78
2020-02-18,segment_1257.npy,74031.125,4.8019624,0.7921055,-912379.25,-209585.62
2020-02-18,segment_1201.npy,74070.15,4.8051443,0.7783004,-931937.1,-214465.34
2020-02-18,segment_836.npy,73476.695,4.804695,0.7665925,-926155.75,-213168.38
2020-02-18,segment_243.npy,74529.95,4.8171253,0.7735141,-877450.7,-200728.78
2020-02-18,segment_1725.npy,70745.31,4.8084683,0.8027748,-993197.75,-230611.7
2020-02-18,segment_1253.npy,70358.8,4.8069415,0.79391533,-973490.6,-225781.56
2020-02-18,segment_432.npy,73528.836,4.813074,0.7822505,-906866.75,-208333.08
2020-02-18,segment_470.npy,77458.05,4.8167987,0.78966266,-950612.6,-218287.25
2020-02-18,segment_725.npy,74155.07,4.813278,0.7721161,-871689.5,-199382.22
2020-02-18,segment_878.npy,75649.734,4.811381,0.78403103,-927396.0,-212935.17
2020-02-18,segment_1403.npy,77254.41,4.802074,0.79693913,-908455.5,-207798.88
2020-02-18,segment_1605.npy,72096.555,4.7824206,0.764222,-795470.0,-180841.97
2020-02-18,segment_501.npy,56666.957,4.8283687,0.7803665,-1106549.1,-262469.12
2020-02-18,segment_67.npy,75403.06,4.8124743,0.7822769,-892805.25,-204349.16
2020-02-18,segment_834.npy,72059.75,4.8036613,0.7675384,-937022.4,-216239.27
2020-02-18,segment_373.npy,74764.734,4.810221,0.76475126,-899513.1,-206185.7
2020-02-18,segment_680.npy,69247.945,4.8132915,0.7402081,-947814.0,-219640.12
2020-02-18,segment_83.npy,78800.63,4.816403,0.7885093,-890415.4,-202902.28
2020-02-18,segment_1132.npy,73217.44,4.8065124,0.776342,-937346.8,-216030.95
2020-02-18,segment_692.npy,72651.805,4.8100004,0.752477,-897043.75,-206096.6
2020-02-18,segment_1621.npy,77024.97,4.780575,0.7695598,-765641.75,-172152.81
2020-02-18,segment_1045.npy,75573.61,4.8060775,0.7988552,-889621.3,-203510.53
2020-02-18,segment_1053.npy,73286.67,4.808978,0.8021479,-938604.4,-216328.02
2020-02-18,segment_1506.npy,74266.21,4.7939825,0.7632833,-857977.4,-195926.4
2020-02-18,segment_1122.npy,69999.3,4.808981,0.7590865,-661119.6,-147778.69
2020-02-18,segment_396.npy,75173.66,4.807788,0.76659983,-866617.2,-197859.48
2020-02-18,segment_591.npy,73715.97,4.8204575,0.77547663,-995268.56,-230386.75
2020-02-18,segment_184.npy,74799.81,4.814996,0.7870105,-906410.4,-207901.23
2020-02-18,segment_1147.npy,73504.266,4.8058076,0.7640116,-909844.0,-209083.55
2020-02-18,segment_1106.npy,70551.53,4.823762,0.71494746,-600828.9,-132567.95
2020-02-18,segment_258.npy,76713.22,4.8167033,0.783263,-897657.1,-205234.58
2020-02-18,segment_1119.npy,65469.92,4.8065405,0.7218815,-479137.88,-103415.61
2020-02-18,segment_676.npy,74488.79,4.8117023,0.73736936,-859484.75,-196247.61
2020-02-18,segment_1779.npy,70079.266,4.805599,0.80635,-997956.4,-231967.88
2020-02-18,segment_1574.npy,72556.375,4.7865915,0.8056753,-646363.1,-143450.28
2020-02-18,segment_433.npy,73525.66,4.811549,0.7883502,-910364.7,-209208.36
2020-02-18,segment_1388.npy,69207.99,4.80952,0.7906171,-988726.4,-229878.19
2020-02-18,segment_78.npy,75236.016,4.8073683,0.8157178,-891920.9,-204169.81
2020-02-18,segment_881.npy,74530.125,4.811825,0.79010135,-947371.3,-218208.89
2020-02-18,segment_1775.npy,70726.15,4.7937403,0.8251289,-966543.5,-223952.94
2020-02-18,segment_1395.npy,73393.0,4.799283,0.7856577,-920050.2,-211662.9
